player,normalized_player,pfr_player_id,gsis_id,cfb_player_id,draft_season,position,college,height_raw,height,weight,forty,vertical,broad,three_cone,short_shuttle,bench,combine_invite,combine_participation,pro_day_used,testing_source,ras_score,speed_score,burst_score,agility_score,ten_yard_split,twenty_yard_split,arm_length,hand_size,wingspan,bmi,testing_coverage_score,testing_notes
Ja'Tyre Carter,jatyrecarter,CartJa04,00-0037089,,2022,OG,Southern,6-3,75.0,311.0,5.13,30.0,108.0,7.84,4.9,,1,1,0,nflverse_combine,,,,,,,,,,38.86808888888889,0.8888888888888888,
Zachary Carter,zacharycarter,CartZa00,00-0037804,zachary-carter-1,2022,DE,Florida,6-4,76.0,282.0,4.99,27.5,110.0,,,19.0,1,1,0,nflverse_combine,,,,,,,,,,34.32236842105263,0.7777777777777778,
Tariq Castro-Fields,tariqcastrofields,CastTa00,00-0037833,tariq-castro-fields-1,2022,CB,Penn St.,6-1,73.0,197.0,4.38,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.988177894539312,0.4444444444444444,
Tykevious Chandler,tykeviouschandler,ChanTy01,00-0037276,ty-chandler-1,2022,RB,North Carolina,5-11,71.0,204.0,4.38,31.0,121.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.449117238643126,0.6666666666666666,
Leo Chenal,leochenal,ChenLe00,00-0037819,leo-chenal-1,2022,LB,Wisconsin,6-3,75.0,250.0,4.53,40.5,128.0,,,,1,1,0,nflverse_combine,,,,,,,,,,31.244444444444444,0.6666666666666666,
Lewis Cine,lewiscine,CineLe00,00-0037245,lewis-cine-1,2022,S,Georgia,6-2,74.0,199.0,4.37,36.5,133.0,,,,1,1,0,nflverse_combine,,,,,,,,,,25.5472972972973,0.6666666666666666,
Damone Clark,damoneclark,ClarDa02,00-0037281,damone-clark-1,2022,LB,LSU,6-3,75.0,239.0,4.57,36.5,127.0,7.12,,,1,1,0,nflverse_combine,,,,,,,,,,29.869688888888888,0.7777777777777778,
Micheal Clemons,michealclemons,ClemMi03,00-0038107,micheal-clemons-1,2022,DE,Texas A&M,6-5,77.0,263.0,,,116.0,,,24.0,1,1,0,nflverse_combine,,,,,,,,,,31.18384213189408,0.5555555555555556,
Jack Coan,jackcoan,CoanJa00,,jack-coan-1,2022,QB,Notre Dame,6-3,75.0,218.0,4.9,33.0,115.0,6.95,4.39,,1,1,0,nflverse_combine,,,,,,,,,,27.245155555555556,0.8888888888888888,
Qwynnterrio Cole,qwynnterriocole,,,qwynnterio-cole-1,2022,S,Louisville,6-0,72.0,206.0,,,,,,16.0,1,1,0,nflverse_combine,,,,,,,,,,27.93557098765432,0.4444444444444444,
Snoop Conner,snoopconner,ConnSn00,00-0037265,snoop-conner-1,2022,RB,Mississippi,5-10,70.0,222.0,4.59,29.5,118.0,,,25.0,1,1,0,nflverse_combine,,,,,,,,,,31.850204081632654,0.7777777777777778,
Bryan Cook,bryancook,CookBr02,00-0037193,bryan-cook-2,2022,S,Cincinnati,6-1,73.0,206.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,27.175455057234004,0.3333333333333333,
James Cook,jamescook,CookJa01,00-0037248,james-cook-2,2022,RB,Georgia,5-11,71.0,199.0,4.42,33.0,124.0,,,,1,1,0,nflverse_combine,,,,,,,,,,27.751834953382264,0.6666666666666666,
Jashaun Corbin,jashauncorbin,CorbJa01,00-0037410,jashaun-corbin-1,2022,RB,Florida St.,5-11,71.0,202.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,28.170204324538783,0.3333333333333333,
Yusuf Corker,yusufcorker,CorkYu00,00-0037370,yusuf-corker-1,2022,S,Kentucky,6-0,72.0,203.0,,,,,,23.0,1,1,0,nflverse_combine,,,,,,,,,,27.528742283950617,0.4444444444444444,
Matt Corral,mattcorral,CorrMa00,00-0038132,matt-corral-1,2022,QB,Mississippi,6-2,74.0,212.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,27.216216216216218,0.3333333333333333,
Charles Cross,charlescross,CrosCh00,00-0037821,charles-cross-1,2022,OT,Mississippi St.,6-5,77.0,307.0,4.95,26.0,112.0,7.88,4.61,,1,1,0,nflverse_combine,,,,,,,,,,36.40091077753416,0.8888888888888888,
Nick Cross,nickcross,CrosNi00,00-0037616,nick-cross-1,2022,S,Maryland,6-0,72.0,212.0,4.34,37.0,130.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.749228395061728,0.6666666666666666,
Dustin Crum,dustincrum,CrumDu00,,dustin-crum-1,2022,QB,Kent St.,6-1,73.0,210.0,4.75,32.5,120.0,,4.36,,1,1,0,nflverse_combine,,,,,,,,,,27.70313379620942,0.7777777777777778,
Myron Cunningham,myroncunningham,CunnMy00,00-0037452,myron-cunningham-1,2022,OT,Arkansas,6-5,77.0,320.0,5.38,20.0,98.0,8.5,5.16,,1,1,0,nflverse_combine,,,,,,,,,,37.9423174228369,0.8888888888888888,
DJ Davidson,djdavidson,DaviDJ00,00-0037260,dj-davidson-1,2022,DT,Arizona St.,6-3,75.0,327.0,,28.0,,7.85,4.72,23.0,1,1,0,nflverse_combine,,,,,,,,,,40.867733333333334,0.7777777777777778,
Jordan Davis,jordandavis,DaviJo03,00-0037073,jordan-davis-9,2022,DT,Georgia,6-6,78.0,341.0,4.78,32.0,123.0,,,,1,1,0,nflverse_combine,,,,,,,,,,39.402202498356345,0.6666666666666666,
Kalia Davis,kaliadavis,DaviKa01,00-0037832,kalia-davis-1,2022,DT,Central Florida,6-1,73.0,302.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,39.83974479264403,0.3333333333333333,
Tyrion Davis-Price,tyriondavisprice,DaviTy03,00-0037827,tyrion-davis-price-1,2022,RB,LSU,6-0,72.0,211.0,4.48,30.0,117.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.613618827160494,0.6666666666666666,
Nakobe Dean,nakobedean,DeanNa00,00-0037615,nakobe-dean-1,2022,LB,Georgia,5-11,71.0,229.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,31.93552866494743,0.3333333333333333,
Dawson Deaton,dawsondeaton,DeatDa00,00-0037326,dawson-deaton-1,2022,C,Texas Tech,6-6,78.0,306.0,5.12,29.0,108.0,7.52,4.49,24.0,1,1,0,nflverse_combine,,,,,,,,,,35.357988165680474,1.0,
Austin Deculus,austindeculus,DecuAu00,00-0037302,austin-deculus-1,2022,OT,LSU,6-5,77.0,321.0,5.08,28.5,109.0,,4.99,,1,1,0,nflverse_combine,,,,,,,,,,38.06088716478327,0.7777777777777778,
Cameron Dicker,camerondicker,DickCa00,00-0037224,cameron-dicker-2,2022,K,Texas,6-1,73.0,220.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,29.022330643647965,0.3333333333333333,
Kellen Diesch,kellendiesch,DiesKe00,00-0037349,kellen-diesch-1,2022,OT,Arizona St.,6-7,79.0,301.0,4.89,32.5,110.0,7.77,4.43,,1,1,0,nflverse_combine,,,,,,,,,,33.90530363723762,0.8888888888888888,
Dai'Jean Dixon,daijeandixon,,,,2022,WR,Nicholls St.,6-3,75.0,205.0,4.62,34.0,125.0,7.28,4.42,,1,1,0,nflverse_combine,,,,,,,,,,25.620444444444445,0.8888888888888888,
JoJo Domann,jojodomann,DomaJo00,00-0037393,jojo-domann-1,2022,LB,Nebraska,6-1,73.0,228.0,4.62,34.5,119.0,,,,1,1,0,nflverse_combine,,,,,,,,,,30.0776881215988,0.6666666666666666,
Jahan Dotson,jahandotson,DotsJa00,00-0037741,jahan-dotson-1,2022,WR,Penn St.,5-11,71.0,178.0,4.43,36.0,121.0,7.28,,,1,1,0,nflverse_combine,,,,,,,,,,24.82324935528665,0.7777777777777778,
Romeo Doubs,romeodoubs,DoubRo00,00-0037816,romeo-doubs-1,2022,WR,Nevada,6-2,74.0,201.0,,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.804054054054053,0.3333333333333333,
Dontario Drummond,dontariodrummond,DrumDo00,00-0037564,dontario-drummond-1,2022,WR,Mississippi,6-1,73.0,215.0,4.65,34.0,122.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.36273221992869,0.6666666666666666,
Greg Dulcich,gregdulcich,DulcGr00,00-0037252,greg-dulcich-1,2022,TE,UCLA,6-4,76.0,243.0,4.69,34.0,122.0,7.05,4.37,16.0,1,1,0,nflverse_combine,,,,,,,,,,29.575657894736842,1.0,
William Dunkle,williamdunkle,DunkWi00,00-0037133,william-dunkle-1,2022,OG,San Diego St.,6-5,77.0,328.0,5.44,26.0,95.0,7.97,4.91,25.0,1,1,0,nflverse_combine,,,,,,,,,,38.890875358407826,1.0,
Cobie Durant,cobiedurant,DuraDe01,00-0037839,,2022,CB,South Carolina St.,5-10,70.0,180.0,4.38,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.824489795918367,0.4444444444444444,
Jerrion Ealy,jerrionealy,EalyJe00,00-0037210,jerrion-ealy-1,2022,RB,Mississippi,5-8,68.0,189.0,4.52,34.5,128.0,,,,1,1,0,nflverse_combine,,,,,,,,,,28.734212802768166,0.6666666666666666,
Arnold Ebiketie,arnoldebiketie,EbikAr00,00-0038116,arnold-ebiketie-1,2022,EDGE,Penn St.,6-2,74.0,250.0,,38.0,128.0,,,21.0,1,1,0,nflverse_combine,,,,,,,,,,32.0945945945946,0.6666666666666666,
Trestan Ebner,trestanebner,EbneTr00,00-0037087,trestan-ebner-1,2022,RB,Baylor,5-11,71.0,206.0,4.43,30.0,,,,,1,1,0,nflverse_combine,,,,,,,,,,28.728030152747472,0.5555555555555556,
Ikem Ekwonu,ikemekwonu,EkwoIk00,00-0037229,ikem-ekwonu-1,2022,OT,North Carolina St.,6-4,76.0,310.0,4.93,29.0,108.0,7.82,4.73,,1,1,0,nflverse_combine,,,,,,,,,,37.73026315789474,0.8888888888888888,
Kaiir Elam,kaiirelam,ElamKa00,00-0037242,kaiir-elam-1,2022,CB,Florida,6-2,74.0,191.0,4.39,,,,,,1,1,0,nflverse_combine,,,,,,,,,,24.52027027027027,0.4444444444444444,
Kaleb Eleby,kalebeleby,ElebKa00,,kaleb-eleby-1,2022,QB,Western Michigan,6-1,73.0,208.0,,25.5,111.0,7.57,,,1,1,0,nflverse_combine,,,,,,,,,,27.439294426721712,0.6666666666666666,
Noah Elliss,noahelliss,,,,2022,DT,Idaho,6-4,76.0,346.0,5.66,,,,,,1,1,0,nflverse_combine,,,,,,,,,,42.11184210526316,0.4444444444444444,
Martin Emerson,martinemerson,EmerMa00,00-0037250,martin-emerson-1,2022,CB,Mississippi St.,6-2,74.0,201.0,4.53,,,,,,1,1,0,nflverse_combine,,,,,,,,,,25.804054054054053,0.4444444444444444,
