season,cfbd_id,player,position,team,conference,average_ppa_all,average_ppa_pass,average_ppa_rush,average_ppa_first_down,average_ppa_second_down,average_ppa_third_down,average_ppa_standard_downs,average_ppa_passing_downs,total_ppa_all,total_ppa_pass,total_ppa_rush,total_ppa_first_down,total_ppa_second_down,total_ppa_third_down,total_ppa_standard_downs,total_ppa_passing_downs,normalized_name,canonical_school
2025,5226455,Khaioz Watford,QB,Hampton,,0.283,0.283,,1.365,0.592,-0.411,0.614,-0.047,1.134,1.134,0.0,1.365,0.592,-0.823,1.228,-0.094,khaioz watford,Hampton
2017,3910281,Khaleel Jenkins,QB,Cal Poly,,-0.228,-0.202,-0.244,-0.897,-0.217,0.188,-0.302,-0.103,-6.166,-2.023,-4.144,-6.276,-1.956,2.066,-5.136,-1.03,khaleel jenkins,Cal Poly
2024,4801308,Khalib Johnson,QB,Kennesaw State,CUSA,-0.542,-0.544,-0.536,-0.713,-1.101,0.331,-0.982,-0.035,-15.189,-13.047,-2.143,-7.847,-8.811,2.652,-14.728,-0.461,khalib johnson,Kennesaw State
2016,4039602,Khalil Tate,QB,Arizona,PAC,0.044,-0.151,0.257,0.325,-0.132,-0.051,0.165,-0.256,3.917,-7.12,11.036,13.996,-3.837,-0.811,10.576,-6.659,khalil tate,Arizona
2017,4039602,Khalil Tate,QB,Arizona,PAC,0.453,0.392,0.535,0.138,0.589,0.662,0.354,0.61,150.038,74.097,75.942,17.105,69.539,56.949,71.909,78.129,khalil tate,Arizona
2018,4039602,Khalil Tate,QB,Arizona,PAC,0.423,0.443,0.314,0.377,0.13,0.747,0.344,0.559,121.524,107.701,13.824,42.978,11.589,61.277,62.309,59.215,khalil tate,Arizona
2019,4039602,Khalil Tate,QB,Arizona,PAC,0.255,0.222,0.386,-0.046,0.136,0.756,0.079,0.486,89.821,62.057,27.764,-6.264,14.398,77.159,15.898,73.922,khalil tate,Arizona
2025,5158251,Khalil Wilkins,QB,West Virginia,B12,0.129,0.019,0.204,-0.105,-0.047,0.75,-0.096,0.457,11.733,0.72,11.013,-3.58,-1.369,17.988,-5.163,16.895,khalil wilkins,West Virginia
2025,5146667,Khristian Martin,QB,Maryland,B1G,0.125,0.03,0.696,0.475,-0.007,0.327,0.207,-0.079,2.631,0.543,2.088,2.85,-0.022,3.273,3.104,-0.473,khristian martin,Maryland
2025,5165586,Kia'i Keone,QB,Northern Colorado,,-0.954,-4.214,-0.139,0.938,-0.288,-0.916,-1.186,-0.023,-4.769,-4.214,-0.555,0.938,-0.577,-0.916,-4.746,-0.023,kiai keone,Northern Colorado
2022,4431416,Kiael Kelly,QB,Ball State,MAC,0.847,,0.847,0.743,0.926,,0.72,1.612,5.932,0.0,5.932,2.23,3.702,0.0,4.321,1.612,kiael kelly,Ball State
2023,4431416,Kiael Kelly,QB,Ball State,MAC,0.153,0.014,0.301,-0.056,0.123,0.438,0.07,0.279,39.25,1.896,37.355,-5.577,10.944,28.465,10.832,28.418,kiael kelly,Ball State
2024,4431416,Kiael Kelly,QB,Ball State,MAC,-0.207,-0.522,-0.133,-0.235,-0.158,,-0.212,-0.193,-8.708,-4.177,-4.531,-6.337,-2.371,0.0,-6.778,-1.93,kiael kelly,Ball State
2025,4431416,Kiael Kelly,QB,Ball State,MAC,0.042,-0.063,0.266,-0.135,-0.062,0.291,0.009,0.084,17.766,-18.203,35.969,-19.743,-8.1,38.371,2.269,15.498,kiael kelly,Ball State
2014,529363,Kieran McDonagh,QB,Portland State,,0.004,0.035,-0.72,-0.127,-0.296,0.523,-0.065,0.146,0.304,2.465,-2.161,-3.548,-7.706,9.408,-3.2,3.504,kieran mcdonagh,Portland State
2015,529363,Kieran McDonagh,QB,Portland State,,0.143,0.143,,0.693,0.592,-0.857,-0.082,0.592,0.429,0.429,0.0,0.693,0.592,-0.857,-0.164,0.592,kieran mcdonagh,Portland State
2014,517095,Kierra Harris,QB,Missouri State,,0.427,0.247,0.852,0.414,0.232,0.602,0.264,0.666,15.798,6.426,9.373,3.725,4.18,5.417,5.811,9.988,kierra harris,Missouri State
2019,4575718,Kierston Harvey,QB,Georgia State,SBC,-0.579,-0.852,-0.307,-0.307,-0.852,,-0.307,-0.852,-1.159,-0.852,-0.307,-0.307,-0.852,0.0,-0.307,-0.852,kierston harvey,Georgia State
2015,3124529,Kilton Anderson,QB,Fresno State,MWC,0.079,-0.013,0.462,-0.049,-0.129,0.442,0.089,0.066,16.314,-2.153,18.467,-3.877,-8.398,24.78,10.4,5.914,kilton anderson,Fresno State
2017,3124529,Kilton Anderson,QB,Coastal Carolina,SBC,0.014,0.001,0.058,-0.043,0.049,0.193,-0.006,0.038,2.2,0.095,2.105,-2.521,2.764,7.93,-0.541,2.741,kilton anderson,Coastal Carolina
2018,3124529,Kilton Anderson,QB,Coastal Carolina,SBC,0.316,0.263,0.475,0.141,0.461,0.466,0.2,0.468,60.014,37.672,22.342,10.428,31.81,20.486,21.617,38.397,kilton anderson,Coastal Carolina
2019,3124529,Kilton Anderson,QB,William & Mary,,-0.111,-0.13,0.19,0.557,-0.953,0.123,0.165,-0.506,-3.779,-4.159,0.38,8.36,-9.535,0.861,3.306,-7.085,kilton anderson,William & Mary
2018,4239400,Kingsley Ifedi,QB,East Carolina,AAC,-0.524,-0.611,0.088,-0.755,-0.154,-0.143,-0.715,-0.41,-8.384,-8.56,0.176,-3.773,-0.463,-1.003,-4.287,-4.097,kingsley ifedi,East Carolina
2025,5304090,Kingston Tisdell,QB,Weber State,,-0.021,-0.008,-0.259,0.004,-0.08,0.27,-0.073,0.037,-1.652,-0.616,-1.036,0.115,-1.916,5.677,-2.978,1.326,kingston tisdell,Weber State
2019,4567241,Kinkead Dent,QB,Ole Miss,SEC,-0.004,,-0.004,-0.004,,,-0.004,,-0.008,0.0,-0.008,-0.008,0.0,0.0,-0.008,0.0,kinkead dent,Ole Miss
2021,4567241,Kinkead Dent,QB,Ole Miss,SEC,0.366,-0.408,3.458,0.355,-0.899,-0.543,0.541,-0.335,1.828,-1.63,3.458,0.355,-0.899,-1.086,2.163,-0.335,kinkead dent,Ole Miss
2022,4567241,Kinkead Dent,QB,Ole Miss,SEC,-0.156,-0.156,,-0.284,0.072,-0.142,-0.284,-0.07,-0.779,-0.779,0.0,-0.568,0.072,-0.283,-0.568,-0.211,kinkead dent,Ole Miss
2023,4567241,Kinkead Dent,QB,UT Martin,,0.262,0.273,0.195,-0.002,0.263,0.489,0.145,0.41,91.485,81.909,9.576,-0.281,31.881,48.926,28.278,63.207,kinkead dent,UT Martin
2024,4567241,Kinkead Dent,QB,UT Martin,,0.388,0.318,0.714,0.259,0.25,0.573,0.378,0.401,135.932,91.677,44.255,30.295,28.033,64.126,72.231,63.7,kinkead dent,UT Martin
2023,5151618,Kirk Francis,QB,Tulsa,AAC,0.385,0.431,-0.319,0.31,0.161,0.743,0.246,0.516,50.083,52.635,-2.552,12.702,7.07,31.97,15.492,34.591,kirk francis,Tulsa
2024,5151618,Kirk Francis,QB,Tulsa,AAC,0.095,0.115,-0.113,0.275,-0.075,0.257,0.154,0.022,25.637,28.346,-2.709,25.054,-6.863,18.479,22.947,2.69,kirk francis,Tulsa
2025,5151618,Kirk Francis,QB,Tulsa,AAC,0.124,0.124,0.133,0.092,0.157,0.187,0.058,0.215,11.798,11.0,0.797,3.214,5.196,4.307,3.194,8.603,kirk francis,Tulsa
2019,4271335,Kirk Rygol,QB,South Florida,AAC,0.419,0.339,0.958,0.119,0.674,0.411,0.023,0.9,12.998,9.165,3.833,1.069,7.41,4.52,0.394,12.604,kirk rygol,South Florida
2020,4429950,Knox Kadum,QB,Virginia Tech,ACC,0.512,0.7,0.248,-0.769,1.29,0.582,-0.134,1.157,6.141,4.9,1.242,-1.539,6.45,2.33,-0.804,6.945,knox kadum,Virginia Tech
2021,4429950,Knox Kadum,QB,Virginia Tech,ACC,-0.062,0.064,-0.548,0.129,-0.467,0.11,0.279,-0.711,-1.812,1.478,-3.29,1.293,-4.205,1.1,5.302,-7.114,knox kadum,Virginia Tech
2022,4429950,Knox Kadum,QB,McNeese,,0.131,0.081,0.31,-0.007,0.213,0.187,-0.017,0.4,12.574,6.059,6.515,-0.269,6.377,4.854,-1.038,13.612,knox kadum,McNeese
2025,5227430,Kobe Muasau,QB,Morgan State,,0.253,0.223,0.438,0.027,-0.09,0.795,0.056,0.424,36.41,27.643,8.767,1.142,-4.492,34.965,3.767,32.643,kobe muasau,Morgan State
2022,4694576,Kobe Tracy,QB,Utah Tech,WAC,0.666,0.664,0.689,0.556,0.238,1.038,0.564,0.864,50.643,45.132,5.511,19.452,5.714,14.538,28.177,22.466,kobe tracy,Utah Tech
2023,4694576,Kobe Tracy,QB,Utah Tech,,0.306,0.307,0.285,0.199,0.3,0.626,0.284,0.336,119.325,113.622,5.703,28.619,39.002,66.382,63.851,55.474,kobe tracy,Utah Tech
2024,4694576,Kobe Tracy,QB,Idaho State,,0.307,0.32,0.167,0.15,0.308,0.607,0.237,0.427,138.906,132.225,6.681,28.29,45.542,61.261,67.677,71.229,kobe tracy,Idaho State
2017,4044687,Kobie Jones,QB,Alabama State,,-0.281,-0.252,-0.353,-0.586,-0.166,-0.01,-0.574,-0.026,-7.861,-5.038,-2.822,-6.444,-1.329,-0.088,-7.467,-0.394,kobie jones,Alabama State
2016,3945810,Kobie Lain,QB,Delaware State,,-0.001,0.044,-0.672,-0.008,0.704,-1.046,-0.321,0.32,-0.012,0.66,-0.672,-0.051,4.222,-4.183,-2.571,2.559,kobie lain,Delaware State
2023,4432556,Kody Sparks,QB,UT Martin,,-0.614,-0.315,-2.259,-0.853,0.333,-0.056,-0.543,-1.007,-7.983,-3.465,-4.518,-5.118,1.331,-0.113,-5.97,-2.013,kody sparks,UT Martin
2024,4432556,Kody Sparks,QB,UT Martin,,-1.015,-1.015,,-1.015,,,-1.015,,-1.015,-1.015,0.0,-1.015,0.0,0.0,-1.015,0.0,kody sparks,UT Martin
2019,4250842,Kohen Granier,QB,Nicholls,,1.869,,1.869,,,1.869,1.869,,1.869,0.0,1.869,0.0,0.0,1.869,1.869,0.0,kohen granier,Nicholls
