join_name,draft_season,pick,round,w_av,dr_av,games,seasons_started,probowls,allpro,proxy_hit,proxy_hit_flat,proxy_hit_era_scaled,label_maturity
aaron rodgers,2005,24,1,169.0,161.0,264.0,16,10,4,1,1,1,mature
jason campbell,2005,25,1,48.0,34.0,90.0,5,0,0,1,1,1,mature
charlie frye,2005,67,3,8.0,7.0,26.0,1,0,0,0,0,0,mature
andrew walter,2005,69,3,1.0,1.0,15.0,1,0,0,0,0,0,mature
david greene,2005,85,3,,,,0,0,0,0,0,0,mature
kyle orton,2005,106,4,40.0,10.0,87.0,5,0,0,1,1,1,mature
stefan lefors,2005,121,4,,,,0,0,0,0,0,0,mature
dan orlovsky,2005,145,5,7.0,5.0,26.0,1,0,0,0,0,0,mature
adrian mcpherson,2005,152,5,,,,0,0,0,0,0,0,mature
derek anderson,2005,213,6,23.0,,78.0,3,1,0,0,0,0,mature
james kilian,2005,229,7,,,,0,0,0,0,0,0,mature
matt cassel,2005,230,7,47.0,18.0,107.0,6,1,0,1,1,1,mature
ryan fitzpatrick,2005,250,7,78.0,1.0,166.0,10,0,0,1,1,1,mature
vince young,2006,3,1,33.0,31.0,60.0,4,2,0,1,1,0,mature
matt leinart,2006,10,1,12.0,12.0,33.0,1,0,0,0,0,0,mature
jay cutler,2006,11,1,86.0,28.0,153.0,10,1,0,1,1,1,mature
kellen clemens,2006,49,2,10.0,3.0,64.0,2,0,0,0,0,0,mature
tarvaris jackson,2006,64,2,22.0,13.0,59.0,2,0,0,0,0,0,mature
