test_year,train_years,validation_years,n_all,n_drafted,position_specific,n_raw_features,pick_only_spearman_all,pick_only_spearman_drafted,pick_only_hit_auc_drafted,pick_only_precision_at_32,pick_only_precision_at_64,pick_only_ndcg_at_32,pick_only_ndcg_at_64,market_spearman_all,market_spearman_drafted,market_hit_auc_drafted,market_precision_at_32,market_precision_at_64,market_ndcg_at_32,market_ndcg_at_64,candidate_spearman_all,candidate_spearman_drafted,candidate_hit_auc_drafted,candidate_precision_at_32,candidate_precision_at_64,candidate_ndcg_at_32,candidate_ndcg_at_64,delta_candidate_vs_pick_spearman_drafted,delta_candidate_vs_market_spearman_drafted,delta_market_vs_pick_spearman_drafted,ablation,description
2019,<= 2018,2017-2018,640,234,False,12,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7784,0.6321,0.8409,0.7812,0.625,0.9561,0.9602,0.0242,0.0167,0.0074,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2020,<= 2019,2018-2019,325,209,False,12,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8331,0.5982,0.8362,0.4375,0.375,0.8918,0.916,-0.0069,0.0048,-0.0117,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2021,<= 2020,2019-2020,403,199,False,12,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8242,0.6056,0.8219,0.5625,0.4375,0.9263,0.9192,0.0199,0.0077,0.0123,global_offensive_production_only,"Offensive NCAA production features only, plus age and college encoding."
2011,<= 2010,2009-2010,365,236,False,6,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7922,0.5569,0.8261,0.5938,0.3906,0.9119,0.9014,-0.0568,-0.0474,-0.0094,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2012,<= 2011,2010-2011,365,233,False,6,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8041,0.5963,0.7933,0.5,0.375,0.9084,0.9025,0.013,0.0059,0.0071,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2013,<= 2012,2011-2012,370,241,False,6,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.7986,0.5901,0.7982,0.4062,0.3906,0.8745,0.907,0.0136,0.0051,0.0085,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2014,<= 2013,2012-2013,365,243,False,6,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.7925,0.6052,0.8306,0.5,0.3906,0.9057,0.9042,0.0301,0.0071,0.0231,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2015,<= 2014,2013-2014,732,245,False,6,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7361,0.6191,0.8286,0.7812,0.6406,0.9577,0.946,0.0413,0.034,0.0073,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2016,<= 2015,2014-2015,454,246,False,6,0.8672,0.5733,0.7908,0.4688,0.4375,0.9152,0.919,0.8707,0.581,0.7955,0.5,0.4062,0.9203,0.9127,0.8284,0.5807,0.7948,0.5,0.4062,0.9201,0.9007,0.0074,-0.0003,0.0077,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2017,<= 2016,2015-2016,582,237,False,6,0.8811,0.5762,0.7636,0.5938,0.5156,0.9399,0.9419,0.8825,0.5886,0.779,0.5938,0.5469,0.9438,0.9459,0.7844,0.5682,0.7624,0.625,0.5312,0.9443,0.9435,-0.008,-0.0204,0.0124,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2018,<= 2017,2016-2017,589,240,False,6,0.9132,0.6297,0.8081,0.6875,0.5469,0.9608,0.9498,0.9167,0.6521,0.8236,0.75,0.5469,0.9661,0.9522,0.8197,0.653,0.8244,0.75,0.5312,0.9588,0.9472,0.0233,0.0009,0.0224,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2019,<= 2018,2017-2018,640,234,False,6,0.8952,0.608,0.8331,0.7812,0.5938,0.9626,0.9467,0.8955,0.6154,0.837,0.75,0.5938,0.962,0.9485,0.7745,0.6205,0.8362,0.75,0.5938,0.9568,0.9531,0.0125,0.0051,0.0074,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2020,<= 2019,2018-2019,325,209,False,6,0.8538,0.605,0.8615,0.4688,0.3906,0.8878,0.9146,0.8499,0.5934,0.8559,0.4688,0.3906,0.8848,0.9164,0.8295,0.5913,0.8359,0.4688,0.3594,0.8778,0.9071,-0.0137,-0.0021,-0.0117,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2021,<= 2020,2019-2020,403,199,False,6,0.864,0.5857,0.8108,0.5312,0.4375,0.9261,0.9249,0.8668,0.598,0.8187,0.5625,0.4375,0.9257,0.9182,0.8213,0.6072,0.8187,0.5625,0.4375,0.9259,0.9173,0.0215,0.0092,0.0123,global_defensive_production_only,"Defensive NCAA production features only, plus age and college encoding."
2011,<= 2010,2009-2010,365,236,True,10,0.8319,0.6137,0.8263,0.5625,0.3906,0.9282,0.9168,0.8291,0.6043,0.8262,0.5938,0.375,0.9393,0.9133,0.7941,0.5622,0.8211,0.6562,0.375,0.9252,0.9005,-0.0515,-0.0421,-0.0094,position_profile_only,Position-family residual models using profile features only.
2012,<= 2011,2010-2011,365,233,True,10,0.8118,0.5832,0.7953,0.5,0.3594,0.9089,0.9042,0.8162,0.5904,0.7913,0.4688,0.3594,0.9066,0.9017,0.8085,0.6004,0.7842,0.4688,0.3594,0.8864,0.8969,0.0171,0.01,0.0071,position_profile_only,Position-family residual models using profile features only.
2013,<= 2012,2011-2012,370,241,True,10,0.8102,0.5765,0.7868,0.4062,0.375,0.8826,0.9038,0.8115,0.585,0.7974,0.4062,0.375,0.8835,0.9053,0.8023,0.5868,0.7964,0.4062,0.375,0.8852,0.9059,0.0103,0.0018,0.0085,position_profile_only,Position-family residual models using profile features only.
2014,<= 2013,2012-2013,365,243,True,10,0.8008,0.575,0.8003,0.5,0.375,0.9176,0.9031,0.8102,0.5981,0.8094,0.5312,0.375,0.9181,0.9101,0.8045,0.6202,0.8289,0.5,0.3594,0.9136,0.9079,0.0451,0.0221,0.0231,position_profile_only,Position-family residual models using profile features only.
2015,<= 2014,2013-2014,732,245,True,10,0.8704,0.5778,0.802,0.75,0.6406,0.9593,0.9492,0.8702,0.5851,0.8063,0.75,0.6719,0.9604,0.9566,0.7329,0.6103,0.8272,0.7812,0.6406,0.9629,0.9502,0.0325,0.0252,0.0073,position_profile_only,Position-family residual models using profile features only.
