player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_epa,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_snap,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_positive_epa_percent,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_epa,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_snap,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_positive_epa_percent,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_epa,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_snap,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_positive_epa_percent,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_epa,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_snap,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_positive_epa_percent,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jonathan Ward,25859,HB,C MICHIGAN,2,50.0,0,2,134,50.0,2,2,31.0,3.3,0,0,0.0,50.0,1,0,0.0,2,100.0,0,1.47,1,,,,29.1,84.7,60.1,84.4,,65.6,45.0,,65.5,,,,0,0,2,50.0,,135.4,0.0,0,0,0,0,1,0,0.0,29,14.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,44.3,84.8,61.8,83.9,,,52.6,,65.5,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,50.0,2,2,31.0,3.3,0,0,0.0,50.0,1,0,0.0,2,100.0,0,1.47,1,,,,,61.8,59.8,75.8,,65.6,52.7,,,,,,0,0,2,50.0,,135.4,0.0,0,0,0,0,1,0,0.0,29,14.5,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,74.9,65.0,69.2,71.4,,,76.7,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,14.5
Colby Moore,34895,S,KANSAS ST,2,0.0,0,2,199,0.0,1,2,9.0,6.45,0,0,0.0,0.0,0,0,,2,100.0,0,-2.98,0,51.5,56.4,72.2,,60.3,20.2,60.0,74.3,25.9,,59.4,,67.0,,74.3,0,1,2,0.0,,0.0,0.0,0,0,0,1,0,1,50.0,0,0.0,0.0,1,2,9.0,6.45,0,0,0.0,0.0,0,0,,2,100.0,0,-2.98,0,51.0,56.1,71.9,,60.3,20.2,60.0,74.3,25.9,,59.4,,67.0,,74.3,0,1,2,0.0,,0.0,0.0,0,0,0,1,0,1,50.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,60.0,60.0,64.0,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
De'Vion Warren,61141,WR,ARKANSAS,1,0.0,0,2,111,0.0,1,2,9.0,4.1,0,0,0.0,0.0,0,1,,2,100.0,0,-1.75,0,,,,10.9,65.2,45.6,0.0,,28.1,47.3,,63.2,,,,0,0,2,0.0,0.0,39.6,0.0,0,0,0,1,0,1,50.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.7,65.3,56.4,0.0,,,52.2,,63.2,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0,1,2,9.0,4.1,0,0,0.0,0.0,0,1,,2,100.0,0,-1.75,0,,,,10.9,63.2,33.3,71.8,,28.1,48.3,,,,,,0,0,2,0.0,0.0,39.6,0.0,0,0,0,1,0,1,50.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.7,62.9,52.5,70.3,,,57.1,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Malik Williams,61121,WR,APP STATE,1,100.0,0,2,108,100.0,2,2,22.0,3.35,0,1,50.0,100.0,2,0,0.0,2,100.0,0,2.25,2,,,,53.7,70.8,71.3,84.0,,91.7,69.2,,57.5,,,,0,0,2,100.0,,158.3,0.0,0,0,0,0,2,0,0.0,38,19.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.9,70.1,68.8,84.2,,,68.9,,57.5,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,2,2,22.0,3.35,0,1,50.0,100.0,2,0,0.0,2,100.0,0,2.25,2,,,,41.6,67.4,69.0,75.1,,91.7,65.5,,,,,,0,0,2,100.0,,158.3,0.0,0,0,0,0,2,0,0.0,38,19.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,74.9,65.0,60.5,73.8,,,63.6,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,19.0
Darveon Brown,33514,WR,ARK STATE,2,0.0,0,2,113,100.0,1,1,20.0,4.5,0,0,0.0,100.0,1,1,0.0,1,50.0,0,0.71,1,,,,,60.3,49.2,81.1,,58.4,48.4,,,,,,0,0,1,100.0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,22,22.0,100.0,1,1,-4.0,3.5,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1.35,1,,,,,60.3,50.1,81.0,,60.4,48.8,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,25,25.0,100.0,1,1,20.0,4.5,0,0,0.0,100.0,1,1,0.0,1,50.0,0,0.71,1,,,,,60.3,48.3,71.7,,58.4,52.3,,,,,,0,0,1,100.0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,22,22.0,0,100.0,1,1,-4.0,3.5,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1.35,1,,,,,60.3,49.4,70.0,,60.4,53.9,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,25,25.0,-3.0
Hunter Renfrow,47509,WR,CLEMSON,2,-100.0,0,2,140,0.0,1,1,21.0,4.3,0,0,0.0,0.0,0,1,,1,50.0,0,-0.59,0,,,,84.5,72.9,76.9,84.9,,37.5,77.3,,,,,,0,0,1,0.0,0.0,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0,100.0,1,1,-5.0,0.7,0,0,0.0,100.0,1,0,0.0,1,50.0,0,-0.53,0,,,,83.8,72.7,70.9,84.9,,60.4,71.1,,,,,,0,0,1,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,0.0,1,1,21.0,4.3,0,0,0.0,0.0,0,1,,1,50.0,0,-0.59,0,,,,81.5,68.3,68.5,77.8,,37.5,69.4,,,,,,0,0,1,0.0,0.0,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0,0,100.0,1,1,-5.0,0.7,0,0,0.0,100.0,1,0,0.0,1,50.0,0,-0.53,0,,,,80.1,67.6,51.1,77.5,,60.4,53.2,,,,,,0,0,1,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,2,2.0,-2.0
Darrell Henderson Jr.,41193,HB,MEMPHIS,2,-50.0,0,2,218,100.0,1,2,11.0,2.0,1,0,0.0,50.0,1,0,0.0,2,100.0,0,0.48,1,,,,80.1,77.7,88.9,51.8,,70.1,76.4,,85.4,,,,0,0,2,50.0,,95.8,0.0,0,0,0,0,1,0,0.0,4,2.0,100.0,1,2,11.0,2.0,1,0,0.0,50.0,1,0,0.0,2,100.0,0,0.48,1,,,,84.7,78.0,89.8,49.3,,70.1,81.1,,85.4,,,,0,0,2,50.0,,95.8,0.0,0,0,0,0,1,0,0.0,4,2.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,73.1,64.1,61.3,80.2,,,59.5,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,81.5,68.2,65.6,77.2,,,71.8,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-2.0
Logan Burnett,39867,QB,MISS STATE,1,100.0,0,2,227,100.0,1,1,14.0,4.35,0,0,0.0,100.0,1,0,0.0,2,100.0,0,0.51,2,,,,,64.4,77.4,70.4,,72.6,,,63.0,,,,0,0,2,50.0,,118.8,0.0,0,1,0,0,0,0,0.0,25,25.0,,0,0,,6.3,0,0,,,0,0,,1,50.0,0,-0.21,1,,,,,63.7,67.3,70.1,,,,,63.0,,,,0,0,1,0.0,,0.0,0.0,0,1,0,0,0,0,0.0,0,,100.0,1,1,14.0,2.4,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1.23,1,,,,,60.3,73.2,63.6,,72.6,,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,25,25.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,25.0
Colten Rastetter,39656,QB,IOWA,2,-100.0,0,2,192,100.0,1,1,11.0,2.2,0,0,0.0,100.0,1,0,0.0,1,50.0,0,5.43,1,,,,,60.3,76.2,65.5,,75.4,,,,,,,0,0,1,100.0,,147.9,0.0,0,0,0,0,1,0,0.0,10,10.0,100.0,2,2,4.0,1.85,0,0,0.0,100.0,2,0,0.0,2,100.0,0,1.25,1,,,,,61.8,78.3,66.0,,75.7,,,,,,,0,0,2,50.0,,129.2,0.0,0,0,0,0,1,0,0.0,11,5.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-3.0,1.5,0,0,0.0,100.0,1,0,0.0,1,50.0,0,-2.92,0,,,,,60.3,61.1,60.0,,60.6,,,,,,,0,0,1,0.0,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,-5.5
Khalil Shakir,84140,WR,BOISE ST,1,-100.0,0,2,120,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,60.0,60.0,41.2,75.1,64.2,81.6,,,60.4,,65.9,60.0,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,2,2,-4.5,0.7,0,0,0.0,100.0,2,0,0.0,2,100.0,0,0.26,0,,60.0,60.0,53.7,75.2,68.5,81.9,,62.6,64.8,,65.9,60.0,,,0,0,2,50.0,,87.5,0.0,0,0,0,0,0,0,0.0,10,5.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,73.1,64.1,71.1,72.2,,,70.7,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,100.0,2,2,-4.5,0.7,0,0,0.0,100.0,2,0,0.0,2,100.0,0,0.26,0,,,,79.3,67.4,80.2,74.1,,62.6,76.4,,,,,,0,0,2,50.0,,87.5,0.0,0,0,0,0,0,0,0.0,10,5.0,-5.0
Dillon Sterling-Cole,46390,QB,ARIZONA ST,1,0.0,0,2,110,0.0,1,2,52.0,3.45,0,0,0.0,0.0,0,2,,2,100.0,0,-1.01,0,,,,,67.6,84.0,71.1,,73.4,,,70.1,,,,0,0,2,0.0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,67.3,78.0,70.6,,,,,70.1,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0,1,2,52.0,3.45,0,0,0.0,0.0,0,2,,2,100.0,0,-1.01,0,,,,,61.8,73.9,65.5,,73.4,,,,,,,0,0,2,0.0,0.0,39.6,0.0,0,0,0,1,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Myles Gaskin,45914,HB,WASHINGTON,2,-100.0,0,2,340,100.0,1,1,9.0,3.55,0,0,0.0,100.0,1,1,0.0,2,100.0,0,1.86,2,,,,83.8,89.1,77.2,57.8,,71.5,59.0,,77.9,,,,0,0,2,100.0,0.0,118.8,0.0,0,1,0,0,1,0,0.0,2,2.0,100.0,1,1,9.0,3.55,0,0,0.0,100.0,1,1,0.0,2,100.0,0,1.86,2,,,,73.0,89.2,78.1,88.2,,71.5,60.7,,77.9,,,,0,0,2,100.0,0.0,118.8,0.0,0,1,0,0,1,0,0.0,2,2.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,53.4,66.2,58.0,0.0,,,56.4,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,44.7,67.5,60.2,75.0,,,60.0,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-2.0
Josh Hokit,50305,HB,FRESNO ST,2,0.0,0,2,169,0.0,1,1,12.0,4.35,0,0,0.0,0.0,0,1,,2,100.0,0,-3.62,0,,,,78.5,67.5,58.9,83.1,,26.8,71.0,,61.5,,,,0,1,2,0.0,0.0,0.0,0.0,0,1,0,0,0,1,50.0,0,0.0,,0,0,,6.0,0,0,,,0,0,,1,50.0,0,-0.4,0,,,,78.5,67.4,62.1,82.4,,,74.6,,61.5,,,,0,0,1,0.0,,0.0,0.0,0,1,0,0,0,0,0.0,0,,0.0,1,1,12.0,2.7,0,0,0.0,0.0,0,1,,1,50.0,0,-6.84,0,,,,66.7,62.4,48.9,76.3,,26.8,61.9,,,,,,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1,100.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,66.7,61.0,63.4,71.6,,,68.1,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Connor Adair,60445,QB,MEMPHIS,2,-50.0,0,2,218,50.0,2,2,20.0,2.3,0,1,33.3,50.0,1,0,0.0,2,100.0,0,0.87,1,,,,,64.8,72.5,72.5,,72.2,,,60.0,,,,0,0,3,50.0,,118.8,0.0,0,0,0,0,1,0,0.0,17,8.5,50.0,2,2,20.0,2.3,0,1,33.3,50.0,1,0,0.0,2,100.0,0,0.87,1,,,,,64.8,72.5,72.5,,72.2,,,60.0,,,,0,0,3,50.0,,118.8,0.0,0,0,0,0,1,0,0.0,17,8.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-8.5
Desmond Phillips,40244,WR,TOLEDO,2,-50.0,0,2,316,50.0,2,2,24.0,2.8,0,1,50.0,50.0,1,0,0.0,2,100.0,0,-1.43,1,,,,47.1,68.1,48.9,85.3,,65.1,46.2,,,,,,0,1,2,50.0,,83.3,0.0,0,0,0,0,1,1,50.0,19,9.5,50.0,2,2,24.0,2.8,0,1,50.0,50.0,1,0,0.0,2,100.0,0,-1.43,1,,,,68.7,69.1,51.8,84.9,,65.1,50.1,,,,,,0,1,2,50.0,,83.3,0.0,0,0,0,0,1,1,50.0,19,9.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,67.5,68.7,58.4,79.0,,,58.3,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,84.7,69.7,70.8,75.8,,,73.3,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-9.5
Warren Wand,45682,HB,ARK STATE,1,0.0,0,1,113,0.0,1,1,17.0,3.1,0,0,0.0,0.0,0,0,,1,100.0,0,-0.53,0,,,,52.3,90.0,81.7,84.7,,55.3,59.3,,86.4,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,52.3,90.0,82.8,84.4,,,57.7,,86.4,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,17.0,3.1,0,0,0.0,0.0,0,0,,1,100.0,0,-0.53,0,,,,79.3,67.3,62.6,78.7,,55.3,67.5,,,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,79.3,67.1,63.9,77.1,,,63.3,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Tre Watson,45730,HB,TEXAS,1,100.0,0,1,311,100.0,1,1,12.0,3.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1.55,1,,,,58.8,75.2,68.6,85.5,,72.6,53.1,,70.4,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,73.0,66.5,67.8,85.1,,,53.4,,70.4,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,12.0,3.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,1.55,1,,,,45.4,65.3,62.2,78.5,,72.6,52.2,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,21,21.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,77.5,15.1,57.6,75.8,,,53.3,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,21.0
Trey Sneed,45847,HB,RUTGERS,1,0.0,0,1,278,100.0,1,1,7.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,-2.97,0,,,,70.7,74.4,61.1,75.7,,71.5,66.1,,56.2,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,73.1,74.5,58.5,76.1,,,63.9,,56.2,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,7.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,-2.97,0,,,,,60.3,74.0,64.8,,71.5,,,,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,66.7,61.0,59.9,68.7,,,59.9,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Myles Washington,45929,TE,KENT STATE,1,-100.0,0,1,201,100.0,1,1,9.0,1.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,3.78,1,,,,,60.3,43.2,80.9,,71.5,47.5,,,,,,0,0,1,100.0,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,100.0,1,1,9.0,1.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,3.78,1,,,,,60.3,48.6,79.7,,71.5,55.0,,,,,,0,0,1,100.0,,108.3,0.0,0,0,0,0,0,0,0.0,10,10.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.7,62.9,45.7,76.2,,,51.5,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.7,62.9,61.1,69.6,,,60.5,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-10.0
Qadree Ollison,45934,HB,PITTSBURGH,1,0.0,0,1,268,100.0,1,1,-4.0,1.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,-0.74,0,,,,44.3,91.0,82.4,53.5,,60.4,45.1,,84.9,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,78.5,91.0,85.9,49.0,,,62.2,,84.9,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-4.0,1.4,0,0,0.0,0.0,0,0,100.0,1,100.0,1,-0.74,0,,,,25.7,65.3,52.5,79.2,,60.4,40.3,,,,,,0,0,1,0.0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,70.7,62.9,65.7,72.9,,,71.7,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0.0
Dontae Strickland,45943,HB,SYRACUSE,1,-100.0,0,1,304,100.0,1,1,38.0,3.4,0,0,0.0,100.0,1,1,0.0,1,100.0,0,2.35,1,,,,79.3,76.7,66.4,13.4,,75.7,60.6,,66.2,,,,0,0,1,100.0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,48,48.0,100.0,1,1,38.0,3.4,0,0,0.0,100.0,1,1,0.0,1,100.0,0,2.35,1,,,,83.3,77.0,67.2,13.4,,75.7,64.8,,66.2,,,,0,0,1,100.0,0.0,118.8,0.0,0,0,0,0,0,0,0.0,48,48.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,66.7,61.0,60.7,74.0,,,60.4,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,78.5,66.7,65.3,76.0,,,73.7,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-48.0
Benny Snell Jr.,45954,HB,KENTUCKY,1,-100.0,0,1,202,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,80.9,90.2,80.3,11.0,,,60.6,,79.0,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,3.65,1,,,,70.9,90.2,81.5,7.5,,69.2,69.6,,79.0,,,,0,0,1,100.0,,158.3,0.0,0,0,0,0,1,0,0.0,43,43.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,66.7,61.0,59.1,79.2,,,49.8,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,100.0,1,1,-4.0,0.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,3.65,1,,,,56.4,66.9,66.7,75.8,,69.2,65.2,,,,,,0,0,1,100.0,,158.3,0.0,0,0,0,0,1,0,0.0,43,43.0,-43.0
Wade Lees,45023,P,MARYLAND,1,-100.0,0,1,215,100.0,1,1,-2.0,2.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,4.23,1,,,,,60.3,60.6,70.3,,60.6,,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0,100.0,1,1,-2.0,2.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,4.23,1,,,,,60.3,60.6,70.3,,60.6,,,,,,,0,0,1,100.0,,118.8,0.0,0,0,0,0,0,0,0.0,15,15.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-15.0
Tyler Sumpter,44945,K,TROY,1,-100.0,0,1,318,100.0,1,1,2.0,2.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,-1.77,0,,,,,60.3,60.6,70.3,,60.6,,,,,,,0,0,1,0.0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,100.0,1,1,2.0,2.5,0,0,0.0,100.0,1,0,0.0,1,100.0,0,-1.77,0,,,,,60.3,60.6,70.3,,60.6,,,,,,,0,0,1,0.0,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,-9.0
Olamide Zaccheaus,44920,WR,VIRGINIA,1,100.0,0,1,335,100.0,1,1,6.0,3.9,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1.45,0,,,,62.8,78.2,80.4,87.8,,60.4,82.3,,62.4,,,,0,0,1,100.0,0.0,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,65.8,78.1,77.7,87.7,,,80.3,,62.4,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,6.0,3.9,0,0,0.0,100.0,1,1,0.0,1,100.0,0,1.45,0,,,,60.0,69.7,78.5,77.8,,60.4,77.3,,,,,,0,0,1,100.0,0.0,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0.0,0,,,,69.9,69.2,68.6,74.8,,,70.2,,,,,,0,0,0,,,0.0,,0,0,0,0,0,0,,0,,9.0
